RtnDate,TotalReturnAmount
1.374192E9,0.0
1.4177376E9,25500.0
1.4261184E9,1900.0
1.4164416E9,0.0
1.396224E9,0.0
1.4356224E9,8500.0
1.4151456E9,171000.0
1.4159232E9,101000.0
1.4163552E9,225000.0
1.4243904E9,203000.0
1.4427936E9,26500.0
1.4059008E9,48000.0
1.396224E9,0.0
1.4309568E9,0.0
1.431648E9,81200.0
1.4095296E9,10658.5
1.4116032E9,1890.0
1.431648E9,6450.0
1.3831776E9,0.0
1.388448E9,0.0
1.388448E9,0.0
1.3916448E9,11500.0
1.3995072E9,20000.0
1.3999392E9,42500.0
1.44072E9,79500.0
1.4491872E9,26500.0
1.3956192E9,8600.0
1.3982112E9,15850.0
1.4007168E9,35000.0
1.4026176E9,15300.0
1.4029632E9,63000.0
1.4043456E9,68600.0
1.404432E9,55000.0
1.4047776E9,0.0
1.4049504E9,105000.0
1.4056416E9,97000.0
1.4060736E9,25700.0
1.40616E9,41000.0
1.406592E9,74500.0
1.406592E9,27800.0
1.4071104E9,81000.0
1.4072832E9,2000.0
1.4073696E9,72900.0
1.4077152E9,73000.0
1.4084064E9,6200.0
1.409184E9,0.0
1.409616E9,41000.0
1.4097888E9,23700.0
1.4103936E9,72390.0
1.4109984E9,51500.0
1.4120352E9,0.0
1.4120352E9,0.0
1.4159232E9,239900.0
1.4159232E9,352000.0
1.4174784E9,23208.0
1.4177376E9,14500.0
1.418256E9,179000.0
1.418256E9,101000.0
1.418256E9,18200.0
1.4183424E9,41500.0
1.4193792E9,3050.0
1.4193792E9,10500.0
1.4198976E9,25500.0
1.4213664E9,17900.0
1.4218848E9,55500.0
1.4218848E9,57650.0
1.4235264E9,59000.0
1.426032E9,55500.0
1.426032E9,55500.0
1.4261184E9,225000.0
1.42776E9,153706.0
1.42776E9,249074.0
1.4282784E9,50859.19
1.4301792E9,17800.0
1.3704768E9,11000.0
1.3709952E9,26750.0
1.3753152E9,0.0
1.3756608E9,0.0
1.3775616E9,0.0
1.3778208E9,0.0
1.3798944E9,0.0
1.3830912E9,0.0
1.3835232E9,0.0
1.3836096E9,0.0
1.3903488E9,0.0
1.3903488E9,0.0
1.3919904E9,92500.0
1.3928544E9,179250.0
1.394064E9,166000.0
1.394496E9,25000.0
1.3950144E9,609500.0
1.3958784E9,23000.0
1.3986432E9,164000.0
1.398816E9,0.0
1.3989888E9,82500.0
1.3995072E9,9900.0
1.4004576E9,159800.0
1.400544E9,20250.0
1.4011488E9,104000.0
1.403136E9,89900.0
1.404864E9,62500.0
1.4060736E9,38500.0
1.4060736E9,2750.0
1.4073696E9,55000.0
1.4078016E9,198000.0
1.4090976E9,74000.0
1.4092704E9,12250.0
1.4099616E9,0.0
1.4103936E9,8282.0
1.410912E9,4200.0
1.411344E9,16500.0
1.4120352E9,56000.0
1.4132448E9,57200.0
1.4132448E9,63900.0
1.4132448E9,12200.0
1.4146272E9,22950.0
1.4149728E9,101000.0
1.4160096E9,19606.0
1.4164416E9,195192.0
1.4177376E9,55500.0
1.4186016E9,38200.0
1.4190336E9,13106.0
1.4190336E9,20476.0
1.4192064E9,110000.0
1.4193792E9,86290.0
1.421712E9,11650.0
1.4217984E9,254000.0
1.4219712E9,19500.0
1.4222304E9,120000.0
1.4224032E9,25750.0
1.4231808E9,8450.0
1.4231808E9,12942.0
1.4236128E9,50000.0
1.4236992E9,52000.0
1.4237856E9,117500.0
1.4240448E9,126600.0
1.4243904E9,17250.0
1.4244768E9,35000.0
1.4252544E9,131000.0
1.4256E9,0.0
1.4256E9,18900.0
1.4262048E9,3352.0
1.426464E9,165000.0
1.4265504E9,20112.0
1.4272416E9,12876.0
1.4275008E9,75000.0
1.4276736E9,34000.0
1.42776E9,33950.0
1.4284512E9,41000.0
1.428624E9,33250.0
1.4296608E9,65000.0
1.4296608E9,23500.0
1.4297472E9,94900.0
1.4298336E9,25752.0
1.4298336E9,97900.0
1.4298336E9,0.0
1.4298336E9,54000.0
1.4298336E9,26172.0
1.42992E9,56940.0
1.430784E9,8283.0
1.4308704E9,0.0
1.4314752E9,12323.0
1.4319072E9,279000.0
1.4319936E9,57600.0
1.4335488E9,24000.0
1.4337216E9,1.0
1.4344992E9,40000.0
1.4347584E9,0.0
1.4347584E9,3.0
1.4358816E9,49000.0
1.4361408E9,52000.0
1.4364E9,7800.0
1.4364E9,53180.0
1.4364E9,19200.0
1.4364E9,19200.0
1.4367456E9,72500.0
1.4387328E9,60000.0
1.4389056E9,22400.0
1.4393376E9,48000.0
1.4416704E9,47500.0
1.4421888E9,1.0
1.4427936E9,28500.0
1.4430528E9,67000.0
1.444176E9,0.0
1.4442624E9,61000.0
1.4446944E9,49900.0
1.4453856E9,7400.0
1.445472E9,162500.0
1.445472E9,7821.0
1.4460768E9,0.0
1.4468544E9,100000.0
1.4472E9,26200.0
1.447632E9,0.0
1.4478048E9,0.0
1.4483232E9,56500.0
1.448496E9,63750.0
1.4494464E9,15750.0
1.4496192E9,7500.0
1.4497056E9,175000.0
1.449792E9,0.0
1.4503968E9,0.0
1.4508288E9,50000.0
1.4518656E9,0.0
1.4518656E9,37000.0
1.4524704E9,63500.0
1.4524704E9,26500.0
1.4537664E9,18750.0
1.4539392E9,36500.0
1.4551488E9,147500.0
1.4552352E9,19725.0
1.4556672E9,11250.0
1.4576544E9,8500.0
1.458E9,89000.0
1.4581728E9,11000.0
1.4585184E9,282000.0
1.3868928E9,0.0
1.3947552E9,14500.0
1.405296E9,107000.0
1.4465952E9,64900.0
1.4314752E9,14750.0
1.4322528E9,86900.0
1.4344128E9,88000.0
1.4362272E9,11750.0
1.4362272E9,57000.0
1.4364E9,61500.0
1.437975E9,13750.0
1.437975E9,18000.0
1.4409792E9,41000.0
1.4410656E9,21500.0
1.441152E9,35500.0
1.4425344E9,33750.0
1.4430528E9,24750.0
1.444176E9,156000.0
1.4442624E9,13000.0
1.4447808E9,125400.0
1.4479776E9,69500.0
1.4491872E9,22500.0
1.4495328E9,15000.0
1.4501376E9,14750.0
1.4503968E9,111000.0
1.450656E9,11500.0
1.4513472E9,280000.0
1.45152E9,1189800.0
1.45152E9,24500.0
1.4524704E9,4500.0
1.4534208E9,26031.0
1.454976E9,58000.0
1.4551488E9,63000.0
1.4551488E9,25000.0
1.4555808E9,262500.0
1.45584E9,109000.0
1.4561856E9,197500.0
1.4563584E9,76976.1
1.4563584E9,13941.0
1.4567904E9,52283.0
1.4579136E9,110000.0
1.4579136E9,8500.0
1.4580864E9,323000.0
1.4581728E9,21750.0
1.4581728E9,7500.0
1.4586912E9,21750.0
1.4586912E9,4491.0
1.4587776E9,17661.0
1.4587776E9,22000.0
1.4121216E9,1600.0
1.4134176E9,11000.0
1.4140224E9,23400.0
1.4159232E9,161000.0
1.417392E9,38000.0
1.4206752E9,6250.0
1.4237856E9,25700.0
1.4259456E9,17800.0
1.4276736E9,72500.0
1.4285376E9,85000.0
1.4285376E9,25500.0
1.4300928E9,100000.0
1.4308704E9,100000.0
1.4319072E9,17900.0
1.4322528E9,25000.0
1.4338944E9,9500.0
1.4343264E9,196000.0
1.3662432E9,92500.0
1.3679712E9,15250.0
1.3690944E9,3500.0
1.3697856E9,106900.0
1.369872E9,320700.0
1.3699584E9,48750.0
1.3703904E9,14550.0
1.3722048E9,156250.0
1.3738464E9,0.0
1.3752288E9,0.0
1.3768704E9,0.0
1.3770432E9,0.0
1.3770432E9,0.0
1.3788576E9,0.0
1.3788576E9,0.0
1.38024E9,0.0
1.38024E9,0.0
1.38024E9,0.0
1.381104E9,0.0
1.3813632E9,0.0
1.3814496E9,0.0
1.3814496E9,0.0
1.381968E9,0.0
1.381968E9,0.0
1.381968E9,0.0
1.3829184E9,0.0
1.3830048E9,0.0
1.3830048E9,0.0
1.3849056E9,0.0
1.3850784E9,0.0
1.3850784E9,0.0
1.3855968E9,0.0
1.3861152E9,0.0
1.3868928E9,0.0
1.3874112E9,0.0
1.3874976E9,0.0
1.3892256E9,0.0
1.3892256E9,0.0
1.3919904E9,193800.0
1.3925952E9,43400.0
1.3934592E9,120000.0
1.3925952E9,0.0
1.3925952E9,0.0
1.3925952E9,88150.0
1.4350176E9,6950.0
1.4357952E9,83000.0
1.4363136E9,24500.0
1.4364864E9,17900.0
1.436832E9,58500.0
1.438128E9,24850.0
1.4386464E9,18500.0
1.4406336E9,44000.0
1.4410656E9,15000.0
1.4421888E9,25000.0
1.4435712E9,0.0
1.4452128E9,25000.0
1.4452128E9,7300.0
1.445472E9,64900.0
1.4465088E9,25250.0
1.447632E9,29900.0
1.4488416E9,3097.0
1.4491008E9,5300.0
1.449792E9,86500.0
1.449792E9,14750.0
1.4520384E9,114500.0
1.4521248E9,55000.0
1.453248E9,10500.0
1.4543712E9,28440.0
1.4543712E9,19250.0
1.4552352E9,2500.0
1.4552352E9,0.0
1.4552352E9,2718.0
1.456272E9,259500.0
1.4570496E9,85000.0
1.4579136E9,3985.0
1.458E9,0.0
1.458E9,0.0
1.458E9,19900.0
1.4582592E9,34500.0
1.4582592E9,36500.0
1.458864E9,1.0
1.398816E9,179000.0
1.3714272E9,0.0
1.3956192E9,72000.0
1.4032224E9,6750.0
1.405296E9,4050.0
1.4080608E9,61000.0
1.4089248E9,70500.0
1.409184E9,297400.0
1.4103936E9,15600.0
